****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 121x1282
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.004	Loglikelihood: -104703	(delta): 150300
86 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
87 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 1.45519e-11
88 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
89 (QN/Block) 	Elapsed: 0.016	Loglikelihood: -72275	(delta): -1.45519e-11
90 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
91 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
92 (QN/Block) 	Elapsed: 0.016	Loglikelihood: -72275	(delta): 0
93 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
94 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 1.45519e-11
95 (QN/Block) 	Elapsed: 0.016	Loglikelihood: -72275	(delta): 0
96 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): -1.45519e-11
97 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 1.45519e-11
98 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): -1.45519e-11
99 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
100 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
Summary: 
Converged in 100 iterations (1.533 sec)
Loglikelihood: -72275.040461
Fst divergences between estimated populations: 
	Pop0	
Pop0	
Pop1	0.477	
CV error (K=2): 0.45001
Writing output files.
